id,name,ostan,shahrestan
264,دیلمان,25,252
265,دینور,22,276
266,دیهوک,10,280
267,ذلقی,26,41
268,رامند,18,86
269,رانکوه,25,42
270,راین,21,328
271,رحمت آباد و بلوکات,25,210
272,رحیم آباد,25,212
273,رستاق,17,170
274,رضویه,11,383
275,رغیوه,13,428
276,روداب,21,407
277,روداب,11,228
278,رودبارالموت شرقی,18,312
279,رودبارالموت غربی,18,312
280,رودبارقصران,8,265
281,رودبست,27,55
282,رودبنه,25,364
283,رودپی,27,224
284,رودپی شمالی,27,224
285,رودخانه,29,209
286,روددشت,9,365
287,رودزرد,13,197
288,رودهن,8,184
289,رونیز,17,28
290,رویدر,29,159
291,ریز,7,129
292,ریگ,7,358
293,ریگ ملک,16,402
294,زارچ,31,434
295,زاغه,26,153
296,زاگرس,6,142
297,زالیان,28,259
298,زاوین,11,330
299,زاینده رود,9,225
300,زبرخان,11,419
301,زرآباد,16,335
302,زرقان,17,273
303,زرنه,6,53
304,زرین آباد,6,189
305,زرین دشت,30,415
306,ززوماهرو,26,41
307,زمکان,22,124
308,زنجانرود,14,221
309,زند,30,385
310,زنده رود,4,295
311,زواره,4,21
312,زهان,10,223
313,زیدآباد,21,254
314,زیدون,13,93
315,زیرآب,27,250
316,زیویه,20,242
317,سارال,20,192
318,ساربوک,16,315
319,ساردوییه,21,134
320,ساروق,28,19
321,سامن,30,385
322,سبلان,3,239
323,سجاس رود,14,151
324,سده,17,39
325,سده,10,308
326,سراب باغ,6,3
327,سراب میمه,6,189
328,سراجو,1,376
329,سرباز,16,233
330,سربند,28,259
331,سرچهان,17,85
332,سرحد,12,274
333,سرخرود,27,375
334,سرخه,15,237
335,سردارجنگل,25,302
336,سردرود,30,202
337,سردشت,13,177
338,سرشیو,20,242
339,سرشیو,20,380
340,سرفاریاب,23,141
341,سرولایت,11,419
342,سریش آباد,20,311
343,سعدآباد,7,179
344,سلامی,11,164
345,سلطان آباد,13,197
346,سلفچگان,19,317
347,سلمانشهر,27,282
348,سلیمان,11,216
349,سملقان,12,371
350,سندرک,29,403
351,سنگان,11,164
352,سنگر,25,204
353,سورنا,17,203
354,سوری,26,213
355,سوسن,13,50
356,سوق,23,343
357,سومار,22,314
358,سویسه,13,320
359,سه قلعه,10,232
360,سیجوال,24,115
361,سیدان,17,379
362,سیروان,20,249
363,سیلاخور,26,186
364,سیلوانه,2,26
365,سیمکان,17,133
366,سیمینه,2,88
367,سیوان,6,52
368,سیه رود,1,128
369,شادمهر,11,390
370,شادیان,1,137
371,شاسکوه,10,223
372,شال,18,86
373,شاندرمن,25,369
374,شاندیز,11,99
375,شاوور,13,266
376,شاهرود,3,157
377,شاهو,22,208
378,شاهیوند,26,143
379,شباب,6,142
380,شبانکاره,7,179
381,شراء,30,429
382,شریف آباد,8,103
383,ششتمد,11,228
384,ششده وقره بلاغ,17,299
385,ششطراز,11,158
386,شعیبیه,13,267
387,شنبه و طسوج,7,180
388,شوسف,10,416
389,شهاب,29,313
390,شهداد,21,328
391,شهرآباد,11,67
392,شهمیرزاد,15,392
393,شهیون,13,177
394,شیبکوه,17,299
395,شیبکوه,29,82
396,شیدا,9,77
397,شیرین سو,30,325
398,صابری,16,421
399,صالح آباد,30,91
400,صالح آباد,6,394
401,صحرای باغ,17,361
402,صفا دشت,8,384
403,صفاییه,2,166
404,صوغان,21,24
405,صوفیان,1,263
406,صومای برادوست,2,26
407,صیدون,13,58
408,ضیاءآباد,18,110
409,طارم سفلی,18,312
410,طاغنکوه,11,306
411,طرقبه,11,99
412,طرهان,26,341
413,طسوج,17,338
414,طغرل الجرد,21,340
415,عطاملک,11,132
416,عقدا,31,22
417,عقیلی,13,347
418,علامرودشت,17,363
419,عمارلو,25,210
420,عنبر,13,381
421,عنبران,3,412
422,غلامان,12,194
423,غیزانیه,13,48
424,فارغان,29,145
425,فتح المبین,13,266
426,فرخشهر,9,271
427,فردوس,21,207
428,فشاپویه,8,200
429,فلارد,9,365
430,فندرسک,24,198
431,فندقلو,1,47
432,فورگ,17,170
433,فیرورق,2,166
434,فیروز,3,339
435,فیروزآباد,26,243
436,فیروزاباد,22,329
437,فین,29,80
438,قرقری,16,433
439,قروه درجزین,30,202
440,قره پشتلو,14,221
441,قره چای,28,163
442,قره قویون,2,268
443,قره کهریز,28,259
444,قشلاق دشت,3,98
445,قصابه,3,382
446,قطرویه,17,417
447,قطور,2,166
448,قلعه چای,1,283
449,قلعه شاهین,22,235
450,قلعه قاضی,29,80
451,قلعه نو,8,200
452,قلقل رود,30,121
453,قلندرآباد,11,298
454,قمصر,4,322
455,قوشخانه,12,274
456,قهدریجان,4,300
457,قهستان,10,175
458,کاخک,11,357
459,کارزان,6,255
460,کاغذکنان,1,400
461,کاکاوند,26,181
462,کاکی,7,180
463,کالپوش,15,397
464,کامفیروز,17,379
465,کامفیروز شمالی,17,379
466,کبگیان,23,89
467,کتیج,16,301
468,کجور,27,414
469,کدکن,11,114
470,کرانی,20,96
471,کربال,17,152
472,کرچمبو,4,84
473,کردیان,17,133
474,کرفتو,20,192
475,کرگان رود,25,281
476,کرون,4,123
477,کشاورز,2,261
478,کشکوییه,21,207
479,کلات,6,3
480,کلاتان,16,76
481,کلاترزان,20,249
482,کلاچای,25,212
483,کلار,27,282
484,کلاشی,22,130
485,کلباد,27,355
486,کلیایی,22,248
487,کلیجان رستاق,27,224
488,کمالان,24,285
489,کمره,28,160
490,کن,8,122
491,کنار تخته و کمارج,17,321
492,کندوان,1,400
493,کوچصفهان,25,204
494,کوخرد-هرنگ,29,72
495,کوراییم,3,418
496,کورین,16,217
497,کوزران,22,329
498,کوشکنار,29,101
499,کومله,25,368
500,کوهپایه,4,37
501,کوهسار,2,245
502,کوهسارات,24,404
503,کوهساران,21,199
504,کوهسرخ,11,323
505,کوهمره,17,321
506,کوهنانی,26,341
507,کوهنجان,17,241
508,کوهین,18,312
509,کویرات,4,7
510,کهریزک,8,200
511,کهک,19,317
512,کهن آباد,15,6
513,کیاشهر,25,10
514,کیش,29,82
515,گاریزات,31,116
516,گافروپارمون,29,73
517,گتاب,27,54
518,گچی,6,387
519,گرکن جنوبی,4,373
520,گرمادوز,1,150
521,گرمخان,12,64
522,گزیک,10,175
523,گل تپه,30,325
524,گلباف,21,328
525,گلبهار,11,144
526,گلدشت,24,356
527,گلزار,21,68
528,گلستان,21,254
529,گلستان,8,92
530,گلگیر,13,381
531,گله دار,17,393
532,گلی داغ,24,377
533,گمبوعه,13,146
534,گنبکی,21,214
535,گندمان,9,70
536,گواور,22,360
537,گوگان,1,5
538,گوهران,29,73
539,گهرباران,27,399
540,گهواره,22,171
541,گیان,30,415
542,گیل خوران,27,131
543,لاجان,2,108
544,لادیز,16,402
545,لاران,9,271
546,لاریجان,27,14
547,لاشار,16,420
548,لالجین,30,91
549,لاله آباد,27,54
550,لاله زار,21,68
551,لشت نشاء,25,204
552,لطف آباد,11,174
553,لواسانات,8,265
554,لوداب,23,89
555,لوندویل,25,9
556,لوه,24,346
557,لیردف,29,126
558,لیلان,1,386
559,مارگون,23,89
560,ماژین,6,176
561,مانه,12,371
562,ماهان,21,328
563,ماهورمیلانی,17,388
564,ماهیدشت,22,329
565,محمدیار,2,410
566,محمدیه,18,40
567,محمله,17,162
568,مرادلو,3,382
569,مرحمت آباد,2,398
570,مرزداران,11,236
571,مرزن آباد,27,139
572,مرکزی,25,9
573,مرکزی,25,10
574,مرکزی,25,79
575,مرکزی,25,281
576,مرکزی,25,212
577,مرکزی,25,204
578,مرکزی,25,210
579,مرکزی,25,277
580,مرکزی,25,302
581,مرکزی,25,368
582,مرکزی,25,364
583,مرکزی,25,264
584,مرکزی,25,42
585,مرکزی,25,206
586,مرکزی,25,252
587,مرکزی,25,369
588,مرکزی,27,14
589,مرکزی,27,54
590,مرکزی,27,94
591,مرکزی,27,119
592,مرکزی,27,195
593,مرکزی,27,224
594,مرکزی,27,250
595,مرکزی,27,307
596,مرکزی,27,413
597,مرکزی,27,414
598,مرکزی,27,55
599,مرکزی,27,375
600,مرکزی,27,411
601,مرکزی,27,139
602,مرکزی,27,131
603,مرکزی,27,355
604,مرکزی,2,26
605,مرکزی,2,108
606,مرکزی,2,245
607,مرکزی,2,166
608,مرکزی,2,238
609,مرکزی,2,370
610,مرکزی,2,391
611,مرکزی,2,398
612,مرکزی,2,410
613,مرکزی,2,88
614,مرکزی,2,261
615,مرکزی,2,118
616,مرکزی,2,36
617,مرکزی,2,138
618,مرکزی,2,107
619,مرکزی,2,140
620,مرکزی,2,268
621,مرکزی,21,59
622,مرکزی,21,75
623,مرکزی,21,134
624,مرکزی,21,207
625,مرکزی,21,218
626,مرکزی,21,254
627,مرکزی,21,269
628,مرکزی,21,328
629,مرکزی,21,344
630,مرکزی,21,68
631,مرکزی,21,199
632,مرکزی,21,286
633,مرکزی,21,389
634,مرکزی,21,340
635,مرکزی,21,211
636,مرکزی,21,316
637,مرکزی,21,214
638,مرکزی,11,111
639,مرکزی,11,114
640,مرکزی,11,113
641,مرکزی,11,174
642,مرکزی,11,228
643,مرکزی,11,318
644,مرکزی,11,323
645,مرکزی,11,357
646,مرکزی,11,383
647,مرکزی,11,419
648,مرکزی,11,144
649,مرکزی,11,164
650,مرکزی,11,236
651,مرکزی,11,298
652,مرکزی,11,67
653,مرکزی,11,205
654,مرکزی,11,330
655,مرکزی,11,158
656,مرکزی,11,390
657,مرکزی,16,51
658,مرکزی,16,135
659,مرکزی,16,148
660,مرکزی,16,215
661,مرکزی,16,217
662,مرکزی,16,231
663,مرکزی,16,420
664,مرکزی,16,233
665,مرکزی,16,335
666,مرکزی,16,222
667,مرکزی,20,61
668,مرکزی,20,96
669,مرکزی,20,242
670,مرکزی,20,249
671,مرکزی,20,311
672,مرکزی,20,380
673,مرکزی,20,192
674,مرکزی,20,324
675,مرکزی,20,240
676,مرکزی,20,188
677,مرکزی,9,70
678,مرکزی,9,271
679,مرکزی,9,287
680,مرکزی,9,365
681,مرکزی,9,23
682,مرکزی,9,342
683,مرکزی,9,345
684,مرکزی,6,52
685,مرکزی,6,176
686,مرکزی,6,189
687,مرکزی,6,142
688,مرکزی,6,394
689,مرکزی,6,3
690,مرکزی,6,53
691,مرکزی,23,89
692,مرکزی,23,343
693,مرکزی,23,348
694,مرکزی,23,185
695,مرکزی,23,95
696,مرکزی,7,87
697,مرکزی,7,120
698,مرکزی,7,179
699,مرکزی,7,180
700,مرکزی,7,190
701,مرکزی,7,336
702,مرکزی,7,358
703,مرکزی,7,191
704,مرکزی,7,129
705,مرکزی,15,172
706,مرکزی,15,246
707,مرکزی,15,260
708,مرکزی,15,351
709,مرکزی,15,392
710,مرکزی,31,22
711,مرکزی,31,60
712,مرکزی,31,116
713,مرکزی,31,396
714,مرکزی,31,434
715,مرکزی,31,401
716,مرکزی,31,16
717,مرکزی,31,35
718,مرکزی,31,147
719,مرکزی,29,17
720,مرکزی,29,80
721,مرکزی,29,82
722,مرکزی,29,313
723,مرکزی,29,403
724,مرکزی,29,126
725,مرکزی,29,209
726,مرکزی,29,145
727,مرکزی,29,72
728,مرکزی,29,159
729,مرکزی,29,101
730,مرکزی,29,256
731,مرکزی,8,122
732,مرکزی,8,184
733,مرکزی,8,200
734,مرکزی,8,422
735,مرکزی,8,272
736,مرکزی,8,33
737,مرکزی,8,201
738,مرکزی,8,103
739,مرکزی,8,305
740,مرکزی,3,20
741,مرکزی,3,157
742,مرکزی,3,98
743,مرکزی,3,382
744,مرکزی,3,353
745,مرکزی,3,100
746,مرکزی,3,339
747,مرکزی,3,412
748,مرکزی,3,418
749,مرکزی,18,86
750,مرکزی,18,110
751,مرکزی,18,312
752,مرکزی,18,4
753,مرکزی,18,40
754,مرکزی,24,81
755,مرکزی,24,115
756,مرکزی,24,350
757,مرکزی,24,285
758,مرکزی,24,327
759,مرکزی,24,359
760,مرکزی,24,404
761,مرکزی,24,13
762,مرکزی,24,332
763,مرکزی,24,8
764,مرکزی,24,198
765,مرکزی,12,30
766,مرکزی,12,64
767,مرکزی,12,125
768,مرکزی,12,274
769,مرکزی,12,288
770,مرکزی,12,371
771,مرکزی,10,97
772,مرکزی,10,175
773,مرکزی,10,234
774,مرکزی,10,308
775,مرکزی,10,416
776,مرکزی,10,280
777,مرکزی,1,431
778,مرکزی,11,275
779,مرکزی,28,19
780,مرکزی,28,11
781,مرکزی,28,117
782,مرکزی,28,160
783,مرکزی,28,183
784,مرکزی,28,227
785,مرکزی,28,259
786,مرکزی,28,374
787,مرکزی,28,219
788,مرکزی,28,334
789,مرکزی,28,163
790,مرکزی,28,292
791,مرکزی,27,331
792,مرکزی,27,257
793,مرکزی,27,251
794,مرکزی,1,47
795,مرکزی,1,112
796,مرکزی,1,230
797,مرکزی,1,376
798,مرکزی,1,378
799,مرکزی,1,400
800,مرکزی,1,427
801,مرکزی,1,78
802,مرکزی,1,71
803,مرکزی,1,263
804,مرکزی,1,333
805,مرکزی,1,426
806,مرکزی,1,128
807,مرکزی,1,386
808,مرکزی,1,31
809,مرکزی,1,137
810,مرکزی,1,423
811,مرکزی,1,283
812,مرکزی,1,150
813,مرکزی,22,32
814,مرکزی,22,329
815,مرکزی,22,104
816,مرکزی,22,235
817,مرکزی,22,248
818,مرکزی,22,314
819,مرکزی,22,337
820,مرکزی,22,360
821,مرکزی,22,130
822,مرکزی,22,276
823,مرکزی,22,425
824,مرکزی,22,124
825,مرکزی,22,171
826,مرکزی,22,208
827,مرکزی,13,1
828,مرکزی,13,46
829,مرکزی,13,48
830,مرکزی,13,50
831,مرکزی,13,83
832,مرکزی,13,93
833,مرکزی,13,156
834,مرکزی,13,177
835,مرکزی,13,178
836,مرکزی,13,197
837,مرکزی,13,258
838,مرکزی,13,267
839,مرکزی,13,381
840,مرکزی,13,266
841,مرکزی,13,58
842,مرکزی,13,43
843,مرکزی,13,362
844,مرکزی,13,430
845,مرکزی,13,196
846,مرکزی,13,347
847,مرکزی,13,45
848,مرکزی,13,428
849,مرکزی,13,432
850,مرکزی,13,62
851,مرکزی,13,146
852,مرکزی,13,12
853,مرکزی,13,320
854,مرکزی,17,2
855,مرکزی,17,28
856,مرکزی,17,39
857,مرکزی,17,133
858,مرکزی,17,170
859,مرکزی,17,229
860,مرکزی,17,273
861,مرکزی,17,299
862,مرکزی,17,304
863,مرکزی,17,321
864,مرکزی,17,361
865,مرکزی,17,379
866,مرکزی,17,388
867,مرکزی,17,417
868,مرکزی,17,363
869,مرکزی,17,85
870,مرکزی,17,25
871,مرکزی,17,154
872,مرکزی,17,220
873,مرکزی,17,319
874,مرکزی,17,393
875,مرکزی,17,291
876,مرکزی,17,102
877,مرکزی,17,162
878,مرکزی,17,241
879,مرکزی,17,203
880,مرکزی,17,349
881,مرکزی,17,338
882,مرکزی,17,152
883,مرکزی,21,24
884,مرکزی,11,173
885,مرکزی,4,21
886,مرکزی,4,37
887,مرکزی,4,161
888,مرکزی,4,165
889,مرکزی,4,247
890,مرکزی,4,295
891,مرکزی,4,296
892,مرکزی,4,300
893,مرکزی,4,270
894,مرکزی,4,322
895,مرکزی,4,354
896,مرکزی,4,366
897,مرکزی,4,405
898,مرکزی,4,406
899,مرکزی,4,408
900,مرکزی,4,262
901,مرکزی,4,373
902,مرکزی,4,7
903,مرکزی,4,123
904,مرکزی,4,136
905,مرکزی,4,187
906,مرکزی,4,66
907,مرکزی,4,167
908,مرکزی,4,84
909,مرکزی,16,421
910,مرکزی,16,424
911,مرکزی,16,402
912,مرکزی,16,315
913,مرکزی,16,301
914,مرکزی,16,76
915,مرکزی,30,121
916,مرکزی,30,385
917,مرکزی,30,415
918,مرکزی,30,429
919,مرکزی,30,325
920,مرکزی,30,29
921,مرکزی,30,91
922,مرکزی,30,202
923,مرکزی,9,225
924,مرکزی,9,77
925,مرکزی,9,149
926,مرکزی,26,41
927,مرکزی,26,69
928,مرکزی,26,153
929,مرکزی,26,181
930,مرکزی,26,186
931,مرکزی,26,341
932,مرکزی,26,27
933,مرکزی,26,106
934,مرکزی,26,243
935,مرکزی,26,213
936,مرکزی,6,255
937,مرکزی,6,65
938,مرکزی,23,367
939,مرکزی,7,284
940,مرکزی,14,18
941,مرکزی,14,151
942,مرکزی,14,221
943,مرکزی,14,49
944,مرکزی,14,155
945,مرکزی,14,278
946,مرکزی,14,372
947,مرکزی,14,244
948,مرکزی,15,6
949,مرکزی,15,397
950,مرکزی,8,310
951,مرکزی,3,38
952,مرکزی,19,317
953,مرکزی,18,15
954,مرکزی,24,346
955,مرکزی,12,194
956,مرکزی,10,168
957,مرکزی,10,223
958,مرکزی,5,326
959,مرکزی,5,226
960,مرکزی,5,409
961,مرکزی,5,279
962,مرکزی,5,34
963,مرکزی,5,294
964,مرکزی,27,297
965,مرکزی,27,282
966,مرکزی,27,399
967,مرکزی,21,193
968,مرکزی,21,303
969,مرکزی,21,407
970,مرکزی,21,289
971,مرکزی,11,63
972,مرکزی,11,306
973,مرکزی,11,127
974,مرکزی,11,216
975,مرکزی,11,132
976,مرکزی,11,56
977,مرکزی,11,169
978,مرکزی,16,433
979,مرکزی,16,182
980,مرکزی,16,395
981,مرکزی,16,253
982,مرکزی,30,290
983,مرکزی,6,387
984,مرکزی,23,141
985,مرکزی,23,57
986,مرکزی,31,90
987,مرکزی,29,73
988,مرکزی,8,109
989,مرکزی,8,309
990,مرکزی,8,384
991,مرکزی,3,239
992,مرکزی,24,377
993,مرکزی,24,356
994,مرکزی,12,352
995,مرکزی,10,74
996,مروست,31,147
997,مزایجان,17,85
998,مشراگه,13,196
999,مشکان,11,169
1000,مشکین دشت,5,294
1001,مشکین شرقی,3,382
1002,مشهدمرغاب,17,154
1003,معصومیه,28,19
1004,معمولان,26,106
1005,ممقان,1,5
1006,منج,9,365
1007,منجوان,1,150
1008,موچش,20,324
1009,مود,10,234
1010,موران,3,353
1011,موسیان,6,189
1012,موگرمون,23,367
1013,مهاباد,4,21
1014,مهران,29,82
1015,مهربان,1,230
1016,مهردشت,4,406
1017,مهرگان,16,231
1018,میان آب,13,267
1019,میان جلگه,11,419
1020,میان ولایت,11,111
1021,میانکوه,9,23
1022,میداود,13,58
1023,میرزاکوچک جنگلی,25,277
1024,میلاجرد,28,334
1025,میمند,17,304
1026,میمه,4,262
1027,مینو,13,156
1028,نارنجستان,27,251
1029,نازلو,2,26
1030,ناغان,9,345
1031,نالوس,2,36
1032,ندوشن,31,401
1033,نشتا,27,119
1034,نصرآباد,11,113
1035,نصرت آباد,16,217
1036,نظرکهریزی,1,427
1037,نگار,21,68
1038,نگین کویر,21,303
1039,نمشیر,20,61
1040,ننور,20,61
1041,نوبران,28,227
1042,نوبندگان,17,299
1043,نوخندان,11,174
1044,نوسود,22,104
1045,نوق,21,207
1046,نوک آباد,16,148
1047,نوکنده,24,81
1048,نیاسر,4,322
1049,نیر,31,116
1050,نیسان,13,432
1051,نیمبلوک,10,308
1052,وراوی,17,393
1053,وردشت,4,247
1054,وزینه,2,238
1055,وشمگیر,24,13
1056,ویس,13,62
1057,ویسیان,26,143
1058,ویلکیج,3,412
1059,هرمز,29,80
1060,هزارجریب,27,411
1061,هلالی,11,127
1062,هلیلان,6,142
1063,همایجان,17,229
1064,هندمینی,6,65
1065,هنزا,21,193
1066,هیدوچ,16,253
1067,هیر,3,20
1068,یامچی,1,378
1069,یانه سر,27,94
1070,یزدان آباد,21,218
1071,یونسی,11,63
