id,name,shahr_type,ostan,shahrestan,bakhsh
838,سیراف,0,7,336,701
839,سیرجان,0,21,254,626
840,سیرجان 1,2,21,254,626
841,سیرجان 2,2,21,254,626
842,سیردان,0,18,312,409
843,سیرکان,0,16,231,91
844,سیریک,0,29,256,730
845,سیس,0,1,263,803
846,سیلوانه,0,2,26,364
847,سیمین شهر,0,24,356,526
848,سیمینه,0,2,88,366
849,سین,0,4,66,906
850,سیه چشمه,0,2,138,617
851,سیه رود,0,1,128,368
852,شاپورآباد,0,4,66,206
853,شادگان,0,13,258,837
854,شادمهر,0,11,390,369
855,شازند,0,28,259,785
856,شال,0,18,86,372
857,شاندیز,0,11,99,374
858,شاوور,0,13,266,375
859,شاهپوراباد,0,26,41,77
860,شاهدشهر,0,8,272,735
861,شاهدیه,0,31,434,714
862,شاهرود,0,15,260,707
863,شاهو,0,22,208,377
864,شاهین دژ,0,2,261,614
865,شاهین شهر,0,4,262,900
866,شباب,0,6,142,379
867,شبانکاره,0,7,179,380
868,شبستر,0,1,263,803
869,شرافت,0,13,267,838
870,شربیان,0,1,230,1015
871,شرفخانه,0,1,263,803
872,شروینه,0,22,130,484
873,شریف آباد,0,8,103,382
874,شریفیه,0,18,40,566
875,ششتمد,0,11,228,383
876,ششده,0,17,299,384
877,شفت,0,25,264,583
878,شلمان,0,25,368,499
879,شلمزار,0,9,345,683
880,شمس آباد,0,13,177,834
881,شمشک,0,8,265,280
882,شنبه,0,7,180,387
883,شندآباد,0,1,263,803
884,شوسف,0,10,416,388
885,شوش,0,13,266,840
886,شوشتر,0,13,267,838
887,شوط,0,2,268,620
888,شوقان,0,12,125,167
889,شول آباد,0,26,41,306
890,شویشه,0,20,249,481
891,شهباز,0,28,259,443
892,شهداد,0,21,328,390
893,شهر امام,0,13,177,834
894,شهراباد,0,11,67,391
895,شهربابک,0,21,269,627
896,شهرپیر,0,17,220,57
897,شهرجدیدهشتگرد,0,5,226,959
898,شهرزو,0,11,330,298
899,شهرصدرا,0,17,273,860
900,شهرضا,0,4,270,893
901,شهرک سرجنگل,0,16,217,496
902,شهرک علی اکبر,0,16,424,146
903,شهرکرد,0,9,271,678
904,شهریار,0,8,272,735
905,شهریار1,2,8,272,735
906,شهریار2,2,8,272,735
907,شهریار3,2,8,272,735
908,شهمیرزاد,0,15,392,392
909,شهیون,0,13,177,393
910,شیبان,0,13,62,1056
911,شیراز,0,17,273,860
912,شیراز 10,2,17,273,860
913,شیراز 9,2,17,273,860
914,شیراز1,2,17,273,860
915,شیراز2,2,17,273,860
916,شیراز3,2,17,273,860
917,شیراز4,2,17,273,860
918,شیراز5,2,17,273,860
919,شیراز6,2,17,273,860
920,شیراز7,2,17,273,860
921,شیراز8,2,17,273,860
922,شیرگاه,0,27,251,793
923,شیروان,0,12,274,768
924,شیرود,0,27,119,591
925,شیرین سو,0,30,325,397
926,صاحب,0,20,242,316
927,صادق اباد,0,24,346,556
928,صالح آباد,0,11,275,778
929,صالح آباد,0,30,91,399
930,صالح آباد,0,6,394,400
931,صالح شهر,0,13,347,846
932,صالحیه,0,8,92,529
933,صایین قلعه,0,14,18,940
934,صباشهر,0,8,272,735
935,صحنه,0,22,276,822
936,صغاد,0,17,2,854
937,صفاییه,0,21,207,427
938,صفادشت,0,8,384,402
939,صفاشهر,0,17,154,871
940,صفی آباد,0,13,177,834
941,صفی آباد,0,12,30,72
942,صمصامی,0,9,342,257
943,صوفیان,0,1,263,405
944,صومعه سرا,0,25,277,579
945,صیدون,0,13,58,407
946,ضیاآباد,0,18,110,408
947,طاقانک,0,9,271,678
948,طالخونچه,0,4,373,901
949,طالقان,0,5,279,961
950,طبس,0,10,280,776
951,طبس مسینا,0,10,175,522
952,طبقده,0,27,399,539
953,طرق رود,0,4,408,899
954,طرقبه,0,11,99,411
955,طسوج,0,17,338,413
956,عالی شهر,0,7,87,696
957,عباس اباد,0,27,282,965
958,عجب شیر,0,1,283,811
959,عسگران,0,4,123,476
960,عسلویه,0,7,284,939
961,عشق آباد,0,11,419,1019
962,عشق آباد,0,10,280,248
963,عقدا,0,31,22,416
964,علامرودشت,0,17,363,418
965,علویجه,0,4,406,1016
966,علی اباد,0,24,285,757
967,عماد شهر,0,17,361,401
968,عنبر,0,13,381,420
969,عنبرآباد,0,21,286,632
970,عنبران,0,3,412,421
971,غرق آباد,0,28,227,1041
972,غلامان,0,12,194,422
973,فارسان,0,9,287,679
974,فارغان,0,29,145,424
975,فاروج,0,12,288,769
976,فاریاب,0,21,289,970
977,فاضل آباد,0,24,285,488
978,فامنین,0,30,290,982
979,فتح آباد,0,4,247,1053
980,فتح المبین,0,13,266,425
981,فخراباد,0,3,382,1001
982,فدامی,0,17,170,432
983,فرادبنه,0,9,70,677
984,فراشبند,0,17,291,875
985,فراغی,0,24,332,131
986,فرح آباد,0,27,224,284
987,فرخ شهر,0,9,271,426
988,فرخی,0,4,167,907
989,فردوس,0,10,293,33
990,فردوسیه,0,8,272,175
991,فردیس,0,5,294,963
992,فرسفج,0,30,121,452
993,فرمهین,0,28,292,790
994,فرون اباد,0,8,103,738
995,فرهادگرد,0,11,298,651
996,فریدونشهر,0,4,296,891
997,فریدونکنار,0,27,297,964
998,فریم,0,27,224,258
999,فریمان,0,11,298,651
1000,فسا,0,17,299,861
1001,فشم,0,8,265,280
1002,فلاورجان,0,4,300,892
1003,فنوج,0,16,301,913
1004,فولادشهر,0,4,366,896
1005,فومن,0,25,302,580
1006,فهرج,0,21,303,968
1007,فیرورق,0,2,166,433
1008,فیروزآباد,0,17,304,862
1009,فیروزآباد,0,26,243,435
1010,فیروزان,0,30,415,227
1011,فیروزکوه,0,8,305,739
1012,فیروزه,0,11,306,972
1013,فیض آباد,0,11,390,656
1014,فیل اباد,0,9,287,61
1015,فین,0,29,80,437
1016,قایم شهر,0,27,307,595
1017,قاین,0,10,308,774
1018,قادراباد,0,17,154,1002
1019,قاسم آباد,0,11,164,165
1020,قاضی,0,12,371,349
1021,قایمیه,0,17,321,194
1022,قدس,0,8,309,989
1023,قدمگاه,0,11,419,300
1024,قرچک,0,8,310,950
1025,قرق,0,24,350,105
1026,قرقری,0,16,433,438
1027,قروه,0,20,311,671
1028,قروه درجزین,0,30,202,439
1029,قره آغاج,0,1,137,809
1030,قره بلاغ,0,17,299,384
1031,قره ضیاءالدین,0,2,140,619
1032,قزوین,0,18,312,751
1033,قزوین 1,2,18,312,751
1034,قزوین 2,2,18,312,751
1035,قزوین 3,2,18,312,751
1036,قزوین 4,2,18,312,751
1037,قشم,0,29,313,722
1038,قصابه,0,3,382,445
1039,قصرشیرین,0,22,314,818
1040,قصرقند,0,16,315,912
1041,قطب آباد,0,17,133,473
1042,قطرویه,0,17,417,446
1043,قطور,0,2,166,447
1044,قلعه,0,22,329,115
1045,قلعه تل,0,13,58,841
1046,قلعه خواجه,0,13,45,847
1047,قلعه رییسی,0,23,343,182
1048,قلعه قاضی,0,29,80,450
1049,قلعه گنج,0,21,316,636
1050,قلعه نو,0,8,200,451
1051,قلندرآباد,0,11,298,453
1052,قم,0,19,317,952
1053,قم 1,2,19,317,952
1054,قم 2,2,19,317,952
1055,قم 3,2,19,317,952
1056,قم 4,2,19,317,952
1057,قم 5,2,19,317,952
1058,قم 6,2,19,317,952
1059,قم 7,2,19,317,952
1060,قم 8,2,19,317,952
1061,قمصر,0,4,322,454
1062,قنوات,0,19,317,952
1063,قوچان,0,11,318,643
1064,قورچی باشی,0,28,160,489
1065,قوشچی,0,2,26,51
1066,قوشخانه,0,12,274,455
1067,قهاوند,0,30,429,381
1068,قهجاورستان,0,4,37,886
1069,قهدریجان,0,4,300,456
1070,قهستان,0,10,175,457
1071,قیام دشت,0,8,200,218
1072,قیدار,0,14,151,941
1073,قیر,0,17,319,873
1074,کاج,0,9,23,681
1075,کاخک,0,11,357,458
1076,کارچان,0,28,19,1003
1077,کارزین (فتح آباد),0,17,319,873
1078,کاریز,0,11,111,638
1079,کازرون,0,17,321,863
1080,کاشان,0,4,322,894
1081,کاشمر,0,11,323,644
1082,کاظم آباد,0,21,328,187
1083,کاکی,0,7,180,462
1084,کامفیروز,0,17,379,464
1085,کامو و چوگان,0,4,322,454
1086,کامیاران,0,20,324,674
1087,کانی دینار,0,20,380,672
1088,کانی سور,0,20,61,1039
1089,کبودرآهنگ,0,30,325,919
1090,کتالم وسادات شهر,0,27,195,592
1091,کتیج,0,16,301,467
1092,کجور,0,27,414,468
1093,کدکن,0,11,114,469
1094,کرج,0,5,326,958
1095,کرج 1,2,5,326,958
1096,کرج 10,2,5,326,958
1097,کرج 11,2,5,326,958
1098,کرج 12,2,5,326,958
1099,کرج 2,2,5,326,958
1100,کرج 4,2,5,326,958
1101,کرج 5,2,5,326,958
1102,کرج 6,2,5,326,958
1103,کرج 7,2,5,326,958
1104,کرج 8,2,5,326,958
1105,کرج 9,2,5,326,958
1106,کردکوی,0,24,327,758
1107,کرسف,0,14,151,941
1108,کرفس,0,30,202,439
1109,کرکوند,0,4,373,901
1110,کرمان,0,21,328,628
1111,کرمان 1,2,21,328,628
1112,کرمان 2,2,21,328,628
1113,کرمان 3,2,21,328,628
1114,کرمان 4,2,21,328,628
1115,کرمانشاه,0,22,329,814
1116,کرمانشاه 1,2,22,329,814
1117,کرمانشاه 2,2,22,329,814
1118,کرمانشاه 3,2,22,329,814
1119,کرمانشاه 4,2,22,329,814
1120,کرمانشاه 5,2,22,329,814
1121,کرمانشاه 6,2,22,329,814
1122,کرمانشاه 7,2,22,329,814
1123,کرمانشاه 8,2,22,329,814
1124,کرند,0,22,171,825
1125,کره ای,0,17,85,331
1126,کشاورز,0,2,261,477
1127,کشکسرای,0,1,378,798
1128,کشکوییه,0,21,207,478
1129,کلات,0,11,330,654
1130,کلاته,0,15,172,705
1131,کلاته خیج,0,15,260,84
1132,کلاچای,0,25,212,482
1133,کلارآباد,0,27,282,483
1134,کلاردشت,0,27,331,791
1135,کلاله,0,24,332,762
1136,کلمه,0,7,179,103
1137,کلوانق,0,1,426,805
1138,کلور,0,3,157,376
1139,کلیبر,0,1,333,804
1140,کلیشادوسودرجان,0,4,300,892
1141,کمال شهر,0,5,326,958
1142,کمشچه,0,4,66,206
1143,کمه,0,4,247,119
1144,کمیجان,0,28,334,788
1145,کنارتخته,0,17,321,491
1146,کنارک,0,16,335,665
1147,کندر,0,11,158,385
1148,کنگ,0,29,82,721
1149,کنگاور,0,22,337,819
1150,کوار,0,17,338,881
1151,کوپن,0,17,203,353
1152,کوت سیدنعیم,0,13,178,835
1153,کوت عبداله,0,13,320,853
1154,کوچصفهان,0,25,204,493
1155,کوراییم,0,3,418,495
1156,کوزران,0,22,329,497
1157,کوزه کنان,0,1,263,803
1158,کوشک,0,4,161,887
1159,کوشکنار,0,29,101,498
1160,کومله,0,25,368,499
1161,کوهبنان,0,21,340,634
1162,کوهپایه,0,4,37,500
1163,کوهدشت,0,26,341,931
1164,کوهسار,0,5,226,196
1165,کوهستک,0,29,256,92
1166,کوهنانی,0,26,341,506
1167,کوهنجان,0,17,241,507
1168,کوهی خیل,0,27,131,542
1169,کوهین,0,18,312,508
1170,کهریزسنگ,0,4,406,898
1171,کهریزک,0,8,200,510
1172,کهک,0,19,317,511
1173,کهن آباد,0,15,6,512
1174,کهنوج,0,21,344,629
1175,کیاسر,0,27,224,201
1176,کیاشهر,0,25,10,513
1177,کیاکلا,0,27,257,792
1178,کیان,0,9,271,678
1179,کیانشهر,0,21,340,414
1180,کیش,0,29,82,514
1181,کیلان,0,8,184,732
1182,گالیکش,0,24,346,954
1183,گتاب,0,27,54,517
1184,گتوند,0,13,347,846
1185,گراب,0,26,341,412
1186,گراب سفلی,0,23,89,554
1187,گراش,0,17,349,880
1188,گرگاب,0,4,262,900
1189,گرگان,0,24,350,756
1190,گرگان 1,2,24,350,756
1191,گرگان 2,2,24,350,756
1192,گرگان 3,2,24,350,756
1193,گرماب,0,14,151,41
1194,گرمدره,0,5,326,958
1195,گرمسار,0,15,351,708
1196,گرمه,0,12,352,994
1197,گرمی,0,3,353,744
1198,گروک,0,29,256,730
1199,گزبرخوار,0,4,262,900
1200,گزنک,0,27,14,546
1201,گزیک,0,10,175,522
1202,گشت,0,16,231,662
1203,گل تپه,0,30,325,523
1204,گلباف,0,21,328,524
1205,گلبهار,0,11,144,525
1206,گلپایگان,0,4,354,895
1207,گلدشت,0,4,406,898
1208,گلزار,0,21,68,527
1209,گلسار,0,5,226,959
1210,گلستان,0,8,92,529
1211,گلشن,0,4,187,905
1212,گلشهر,0,4,354,895
1213,گلگیر,0,13,381,530
1214,گلمکان,0,11,144,525
1215,گلمورتی,0,16,182,979
1216,گلوگاه,0,27,54,96
1217,گلوگاه,0,27,355,603
1218,گله دار,0,17,393,531
1219,گلیداغ,0,24,377,532
1220,گمیش تپه,0,24,356,993
1221,گناباد,0,11,357,645
1222,گنبدکاووس,0,24,359,759
1223,گنبکی,0,21,214,534
1224,گندمان,0,9,70,535
1225,گوجان,0,9,287,679
1226,گودین,0,22,337,819
1227,گوراب زرمیخ,0,25,277,1023
1228,گوریه,0,13,267,386
1229,گوگ تپه,0,2,391,610
1230,گوگان,0,1,5,537
1231,گوگد,0,4,354,895
1232,گوهران,0,29,73,538
1233,گهرو,0,9,345,683
1234,گهواره,0,22,171,540
1235,گیان,0,30,415,541
1236,گیلانغرب,0,22,360,820
1237,گیوی,0,3,339,746
1238,لاجان,0,2,108,543
1239,لار,0,17,361,864
1240,لالجین,0,30,91,548
1241,لاله زار,0,21,68,550
1242,لالی,0,13,362,843
1243,لامرد,0,17,363,868
1244,لاهرود,0,3,382,1001
1245,لاهیجان,0,25,364,582
1246,لای بید,0,4,262,1026
1247,لپویی,0,17,273,302
1248,لردگان,0,9,365,680
1249,لشت نشاء,0,25,204,551
1250,لطف آباد,0,11,174,552
1251,لطیفی,0,17,361,864
1252,لمزان,0,29,82,1014
1253,لنده,0,23,367,938
1254,لنگرود,0,25,368,581
1255,لواسان,0,8,265,553
1256,لوجلی,0,12,274,332
1257,لوشان,0,25,210,578
1258,لولمان,0,25,204,493
1259,لومار,0,6,255,936
1260,لوندویل,0,25,9,555
1261,لیردف,0,29,126,557
1262,لیسار,0,25,281,475
1263,لیکک,0,23,95,695
1264,لیلان,0,1,386,558
1265,مادرسلیمان,0,17,102,123
1266,مادوان,0,23,89,691
1267,مارگون,0,23,89,559
1268,ماژین,0,6,176,560
1269,ماسال,0,25,369,587
1270,ماسوله,0,25,302,335
1271,ماکلوان,0,25,302,335
1272,ماکو,0,2,370,609
1273,مال خلیفه,0,9,365,429
1274,مامونیه,0,28,219,787
1275,ماه نشان,0,14,372,946
1276,ماهان,0,21,328,562
1277,ماهدشت,0,5,326,958
1278,مبارک آباددیز,0,17,319,873
1279,مبارک شهر,0,1,386,807
1280,مبارکه,0,4,373,901
1281,مجلسی,0,4,373,901
1282,مجن,0,15,260,84
1283,محلات,0,28,374,786
1284,محمدآباد,0,21,214,637
1285,محمدآباد,0,4,37,155
1286,محمدآباد,0,16,424,910
1287,محمدان,0,16,76,914
1288,محمدشهر,0,10,168,956
1289,محمدشهر,0,5,326,958
1290,محمدی,0,16,231,662
1291,محمدیار,0,2,410,565
1292,محمدیه,0,18,40,566
1293,محمله,0,17,162,567
1294,محمودآباد,0,27,375,599
1295,محمودآباد,0,2,261,614
1296,محمودآبادنمونه,0,18,312,751
1297,محی آباد,0,21,328,562
1298,مرادلو,0,3,382,568
1299,مراغه,0,1,376,797
1300,مراغه 1,2,1,376,797
1301,مراغه 2,2,1,376,797
1302,مراوه,0,24,377,992
1303,مرجقل,0,25,277,144
1304,مردهک,0,21,286,154
1305,مرزن آباد,0,27,139,571
1306,مرزیکلا,0,27,54,62
1307,مرگنلر,0,2,268,442
1308,مرند,0,1,378,798
1309,مرودشت,0,17,379,865
1310,مروست,0,31,147,996
1311,مریانج,0,30,429,918
1312,مریوان,0,20,380,672
1313,مزایجان,0,17,85,997
1314,مزدآوند,0,11,236,570
1315,مزرعه,0,24,285,757
1316,مس سرچشمه,0,21,207,624
1317,مسجدسلیمان,0,13,381,839
